text,department,category,subcategory,priority
Fumigation and mosquito fogging required urgently in Connaught Place area.,Public Health Department,Public Health,Vector Disease Control,HIGH
road is completely dug up near chandni chowk and no barricades put.,Public Works Department,Roads / PWD,Dangerous Pothole,HIGH
"street light 1 hafte se band hai Dwarka Sector 10 me, andhera rehta hai.",Electrical & Lighting Department,Street Lighting,Daytime Light On,LOW
"Street lights remain turned on during daytime near Sector 17, wasting electricity.",Electrical & Lighting Department,Street Lighting,Dark Road Safety Concern,HIGH
footpath is broken and paved tiles are missing near rajouri garden.,Public Works Department,Roads / PWD,Open Manhole Hazard,CRITICAL
Drainage gutter overflow inundating street water in Railway Station Road.,Municipal Drainage Department,Drainage,Drainage Overflow,HIGH
There is a major water shortage in our colony near Ring Road Junction.,Water Department,Water Supply,Water Meter Defect,LOW
traffic signal blinking red continuously at civil lines intersection.,Municipal Transport Department,Transport,Public Transport Facility,LOW
public toilet bahut ganda hai near Kashmere Gate bus stand.,Sanitation Department,Sanitation,Foul Smell / Unsanitary Area,MEDIUM
Huge pile of uncollected trash dumped openly near Chandni Chowk corner.,Sanitation & Waste Department,Waste Management,Open Waste Dumping,MEDIUM
nali overflow kar rahi hai rajouri garden ke raste pe.,Municipal Drainage Department,Drainage,Stormwater Drain Blockage,HIGH
Sewage line overflowing near Rohini Sector 7 creating unsanitary conditions.,Sanitation Department,Sanitation,Public Sanitation Nuisance,MEDIUM
"STREET LIGHT 1 HAFTE SE BAND HAI PITAMPURA ME, ANDHERA REHTA HAI.",Electrical & Lighting Department,Street Lighting,Dark Road Safety Concern,HIGH
non-functional street lamps along main highway stretch near dwarka sector 10.,Electrical & Lighting Department,Street Lighting,Dark Road Safety Concern,HIGH
water pipe leak ho gaya hai GT Road market ke paas.,Water Department,Water Supply,Water Meter Defect,LOW
Sewage line overflowing near Kashmere Gate creating unsanitary conditions.,Sanitation Department,Sanitation,Public Sanitation Nuisance,MEDIUM
"TRAFFIC LIGHT KHARAB HAI NEAR DWARKA SECTOR 10 CHOWK, JAM LAG RAHA HAI.",Municipal Transport Department,Transport,Public Transport Facility,LOW
traffic signal blinking red continuously at Vasant Kunj intersection.,Municipal Transport Department,Transport,Traffic Signal Defect,HIGH
Garbage has not been collected from GT Road for 10 days.,Sanitation & Waste Department,Waste Management,Uncollected Garbage,MEDIUM
MAIN WATER SUPPLY PIPELINE DAMAGED DURING ROAD WORK IN CONNAUGHT PLACE.,Water Department,Water Supply,No Water Supply,HIGH
Exposed live electrical wire hanging dangerously near school entrance in Lajpat Nagar.,Electricity Department,Electricity,Power Outage,HIGH
Huge pile of uncollected trash dumped openly near Mayur Vihar Phase 1 corner.,Sanitation & Waste Department,Waste Management,Open Waste Dumping,MEDIUM
our taps have been completely dry since tuesday.,Water Department,Water Supply,Water Pipeline Leakage,HIGH
door-to-door sanitation truck hasn't visited rajouri garden this week.,Sanitation & Waste Department,Waste Management,Irregular Door-to-Door Collection,LOW
water comes for only 10 minutes in the morning with very poor pressure at karol bagh.,Water Department,Water Supply,Water Pipeline Leakage,HIGH
Power transformer overloaded and sparking near Model Town residential block.,Electricity Department,Electricity,Low Voltage Issue,MEDIUM
