text,intent
stagnant water pool near civil lines causing mosquito breeding,GRIEVANCE
that is not my problem,DENIAL
power has been out in model town for 2 hours,GRIEVANCE
change the location,CORRECTION
traffic signal lights not working at railway station road intersection,GRIEVANCE
wrong department,CORRECTION
hi,GREETING
yes submit,CONFIRMATION
overflowing waste bin in saket,GRIEVANCE
awesome thanks,THANKS
tell me about yourself,CAPABILITIES
options,CAPABILITIES
power has been out in karol bagh for 2 hours,GRIEVANCE
aap kya karte ho,CAPABILITIES
proceed,CONFIRMATION
overflowing waste bin in saket,GRIEVANCE
street lights have been off for 7 nights in railway station road,GRIEVANCE
okay thanks,THANKS
xyz123,UNKNOWN
that's right,CONFIRMATION
water has not come for 4 days in karol bagh,GRIEVANCE
footpath tiles are broken near vasant kunj,GRIEVANCE
can you help me,CAPABILITIES
power has been out in saket for 2 hours,GRIEVANCE
awesome thanks,THANKS
thank you,THANKS
overflowing waste bin in vasant kunj,GRIEVANCE
hamare area saket me paani nahi aa raha hai,GRIEVANCE
nali overflow kar rahi hai vasant kunj me,GRIEVANCE
thank you so much,THANKS
huge deep potholes on the main road in railway station road,GRIEVANCE
hey buddy,GREETING
help me,CAPABILITIES
blabla,UNKNOWN
i am fine but the pipeline outside my house in civil lines is leaking,GRIEVANCE
location is incorrect,CORRECTION
dark street near railway station road creating safety risk,GRIEVANCE
help,CAPABILITIES
our taps are dry since yesterday,GRIEVANCE
that is not my problem,DENIAL
i'm good,GREETING
shukriya,THANKS
thanks bot,THANKS
i want to change the details,CORRECTION
hello sir,GREETING
bahut dhanyawad,THANKS
bijli 6 ghante se nahi hai sector 17 me,GRIEVANCE
nali overflow kar rahi hai saket me,GRIEVANCE
overflowing waste bin in civil lines,GRIEVANCE
garbage has not been collected from karol bagh for 3 days,GRIEVANCE
i'm fine,GREETING
no,DENIAL
category wrong hai,CORRECTION
hello sir there is a water pipe leaking on the road in sector 17,GRIEVANCE
open manhole on road near karol bagh,GRIEVANCE
sahi hai,CONFIRMATION
the road near sector 17 is completely broken and damaged,GRIEVANCE
nali overflow kar rahi hai sector 17 me,GRIEVANCE
thanks,THANKS
our taps are dry since last night,GRIEVANCE
huge pile of uncollected trash dumped near saket,GRIEVANCE
our taps are dry since monday,GRIEVANCE
water pipeline is leaking near vasant kunj,GRIEVANCE
hello,GREETING
great thanks,THANKS
huge pile of uncollected trash dumped near saket,GRIEVANCE
thanks a lot,THANKS
what services do you offer,CAPABILITIES
no,DENIAL
water has not come for 7 days in model town,GRIEVANCE
our taps are dry since monday,GRIEVANCE
waterlogging in vasant kunj after light rain,GRIEVANCE
yes,CONFIRMATION
hii,GREETING
huge pile of uncollected trash dumped near saket,GRIEVANCE
how are you,GREETING
waterlogging in sector 17 after light rain,GRIEVANCE
the road near karol bagh is completely broken and damaged,GRIEVANCE
water pipeline is leaking near saket,GRIEVANCE
blabla,UNKNOWN
road ki condition bahut kharab hai karol bagh me,GRIEVANCE
okay,CONFIRMATION
dhanyawad,THANKS
water pipeline is leaking near karol bagh,GRIEVANCE
edit details,CORRECTION
aap kaun ho,CAPABILITIES
cricket score,UNKNOWN
what are you,CAPABILITIES
what is this,CAPABILITIES
kya kar sakte ho,CAPABILITIES
road ki condition bahut kharab hai sector 17 me,GRIEVANCE
hellooo,GREETING
drainage gutter overflow flooding road in civil lines,GRIEVANCE
kachra 4 din se nahi uthaya gaya hai model town se,GRIEVANCE
how can you help,CAPABILITIES
change the location,CORRECTION
play music,UNKNOWN
about,CAPABILITIES
blabla,UNKNOWN
wrong department,CORRECTION
aap kya karte ho,CAPABILITIES
wrong department,CORRECTION
nali overflow kar rahi hai civil lines me,GRIEVANCE
haan,CONFIRMATION
hello sir there is a water pipe leaking on the road in civil lines,GRIEVANCE
proceed,CONFIRMATION
aap kaun ho,CAPABILITIES
testing 123,UNKNOWN
good afternoon,GREETING
ok,CONFIRMATION
water pipeline is leaking near karol bagh,GRIEVANCE
correct,CONFIRMATION
aap kaun ho,CAPABILITIES
traffic signal lights not working at vasant kunj intersection,GRIEVANCE
hi bot,GREETING
huge deep potholes on the main road in saket,GRIEVANCE
the road near karol bagh is completely broken and damaged,GRIEVANCE
what's up,GREETING
open manhole on road near civil lines,GRIEVANCE
i am fine but the pipeline outside my house in saket is leaking,GRIEVANCE
sab badhiya,GREETING
category wrong hai,CORRECTION
