text,department,category,subcategory,priority
hello sir my name is rahul and traffic light kharab hai near Civil Lines chowk,Municipal Transport Department,Transport,Traffic Signal Defect,HIGH
there is sewage overflowing from the chamber onto the walking path in Rohini Sector 7,Sanitation Department,Sanitation,Sewage Overflow,HIGH
bhai listen paani sadak par beh raha hai pipe leak hone ki wajah se,Water Department,Water Supply,Water Pipeline Leakage,HIGH
i am rahul shamram i am fine so the problem is that huge pile of uncollected trash dumped openly near Model Town,Sanitation & Waste Department,Waste Management,Open Waste Dumping,MEDIUM
hello sir my name is rahul and nuisance and stench from dirty public toilet near Civil Lines market,Sanitation Department,Sanitation,Foul Smell / Unsanitary Area,MEDIUM
there is no water supply in Lajpat Nagar,Water Department,Water Supply,No Water Supply,HIGH
bhai listen electricity transformer near lajpat nagar is sparking violently and emitting smoke,Electricity Department,Electricity,Transformer Sparking,CRITICAL
electricity transformer near Lajpat Nagar is sparking violently and emitting smoke,Electricity Department,Electricity,Transformer Sparking,CRITICAL
"bhai listen fogging karwao area me, dengue phail raha hai",Public Health Department,Public Health,Vector Disease Control,HIGH
dirty brown water is coming from the tap in Railway Station Road,Water Department,Water Supply,Contaminated / Dirty Water,HIGH
i am rahul shamram i am fine so the problem is that bijli 6 ghante se nahi hai Karol Bagh me,Electricity Department,Electricity,Power Outage,HIGH
hello sir my name is rahul and live electrical wire fallen on road near Railway Station Road,Electricity Department,Electricity,Exposed Electrical Hazard,CRITICAL
in our area entire stretch of road near Connaught Place is pitch dark at night,Electrical & Lighting Department,Street Lighting,Dark Road Safety Concern,HIGH
there is sewage overflowing from the chamber onto the walking path in Civil Lines,Sanitation Department,Sanitation,Sewage Overflow,HIGH
"please help me, water pipe is leaking near Dwarka Sector 10 and road is full of water",Water Department,Water Supply,Water Pipeline Leakage,HIGH
bhai listen no water coming out of kitchen tap since Tuesday,Water Department,Water Supply,No Water Supply,HIGH
i am reporting an issue that street light 1 hafte se band hai Sector 17 me,Electrical & Lighting Department,Street Lighting,Streetlight Off,MEDIUM
severe waterlogging in Sector 17 after light rain due to choked drains,Municipal Drainage Department,Drainage,Waterlogging,HIGH
